Report start year,100,Report stop year,299,(inclusive)
Government,Sink,StopC2,Market,BET,ASP,Reward,Ratio,Run,Expenditure,Income,Subsidy,Subsidy.Proportion,Bankruptcies,Land.Use.Change,Occupancy.LU.1,Occupancy.LU.2,Occupancy.LU.3,Occupancy.LU.4,Occupancy.LU.5,Occupancy.LU.6,Extinction.SPP.1,Extinction.SPP.2,Extinction.SPP.3,Extinction.SPP.4,Extinction.SPP.5,Extinction.SPP.6,Extinction.SPP.7,Extinction.SPP.8,Extinction.SPP.9,Extinction.SPP.10,Occupancy.SPP.1,Occupancy.SPP.2,Occupancy.SPP.3,Occupancy.SPP.4,Occupancy.SPP.5,Occupancy.SPP.6,Occupancy.SPP.7,Occupancy.SPP.8,Occupancy.SPP.9,Occupancy.SPP.10,Shannon,Equitability,Richness
RewardActivity,0,1,var2,25.0,1.0,25.0,1.0,9,1127500,60.3295788056206,26.4051522248244,0.469117135426649,0,0,141,35,17,416,9,7,NA,11,21,NA,NA,NA,NA,NA,NA,NA,0.132,0,0,0.204,0.9344,0.89824,0.6768,0.73312,0.71888,0.17408,1.20871846108968,8.51787065237666e-07,8
RewardActivity,0,1,var2,25.0,1.0,25.0,1.0,10,1155000,63.0483297699758,27.9661016949153,0.468860065929578,0,0,145,68,2,394,10,6,NA,18,96,NA,NA,NA,NA,NA,NA,NA,0.1664,0,0,0.29136,0.96112,0.88208,0.63648,0.75152,0.73776,0.18672,1.25101739061641,8.30563383523366e-07,8
RewardActivity,0,1,var2,25.0,1.0,25.0,1.0,11,1114200,62.7307972181373,27.3088235294118,0.464247732900487,0,6.46464646464646e-05,157.282828282828,47,14,398.717171717172,4,4,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,0.14384,0,0.02224,0.24912,0.94944,0.89792,0.63072,0.71536,0.71152,0.20752,1.23312809652888,1.70066195323662e-06,9
RewardActivity,0,1,var2,25.0,1.0,25.0,1.0,12,1194550,62.144246421801,28.3068720379147,0.474746641297305,0,4.84848484848485e-05,143.151515151515,48,0,429.848484848485,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15296,0.14416,0.0592,0.23232,0.98128,0.92928,0.67728,0.7664,0.7624,0.15472,1.33620143388405,0.232872110602794,10
RewardActivity,0,1,var2,25.0,1.0,25.0,1.0,13,1122500,61.6819041084338,27.0481927710843,0.464732557831411,0,0,158,43,6,406,7,5,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,0.1064,0.08768,0,0.23568,0.9592,0.91168,0.64944,0.7264,0.71648,0.21808,1.25627635479234,1.66943872234828e-06,9
RewardActivity,0,1,var2,25.0,1.0,25.0,1.0,14,1145000,61.2425595853081,27.1327014218009,0.468961879563862,0,0,148,42,10,416,5,4,14,NA,43,NA,NA,NA,NA,NA,NA,NA,0,0.11776,0,0.20016,0.95952,0.91296,0.65904,0.73856,0.73056,0.17072,1.21016843147564,8.34722914297493e-07,8
RewardActivity,0,1,var2,25.0,1.0,25.0,1.0,15,1133225,61.2968013033176,26.853672985782,0.470145344681154,0,4.84848484848485e-05,136,36,18.1313131313131,417.30303030303,6,11.5656565656566,15,41,36,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.17216,0.93056,0.88704,0.67456,0.7304,0.72352,0.15488,1.14098052046065,5.69800020029625e-07,7
RewardActivity,0,1,var2,25.0,1.0,25.0,1.0,16,1197500,60.0009548068182,27.2159090909091,0.477010808858914,0,0,136,64,0,415,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17232,0.15552,0.0776,0.24624,0.96992,0.89616,0.65968,0.76896,0.76432,0.14832,1.35794491998792,0.276854528291138,10
RewardActivity,0,1,var2,25.0,1.0,25.0,1.0,17,1219550,60.4499363605442,27.6541950113379,0.479559268152633,0,4.84848484848485e-05,124.151515151515,63,6,424.848484848485,2,5,NA,51,12,NA,NA,NA,NA,NA,NA,NA,0.17536,0,0,0.21744,0.96832,0.89504,0.6752,0.78096,0.77872,0.13248,1.23433835793778,8.26444668651632e-07,8
RewardActivity,0,1,var2,25.0,1.0,25.0,1.0,18,1189550,61.6909391238318,27.7932242990654,0.475142076721975,0,4.84848484848485e-05,128.151515151515,57,10,418.848484848485,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17808,0.16592,0.0272,0.21728,0.95776,0.8856,0.668,0.7624,0.75808,0.13232,1.3055433722332,0.15664634465821,10
RewardActivity,0,1,var2,25.0,1.0,25.0,1.0,19,1197500,61.2294899535963,27.784222737819,0.477326275110836,0,0,129,49,6,430,5,6,15,NA,72,NA,NA,NA,NA,NA,NA,NA,0,0.0856,0,0.19072,0.95744,0.90432,0.68848,0.772,0.764,0.14688,1.21973158056798,8.40334429186189e-07,8
RewardActivity,0,1,var2,25.0,1.0,25.0,1.0,20,1175000,62.6095458253589,28.11004784689,0.472394259414594,0,0,142,59,5,411,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15232,0.11968,0.03616,0.24864,0.96688,0.9016,0.65408,0.75664,0.75024,0.18224,1.32968047306869,0.236012200804817,10
RewardActivity,0,1,var2,25.0,1.0,30.0,1.0,1,1317000,68.8147360401002,33.0075187969925,0.503744077439025,0,0,175,36,1,403,1,9,NA,36,15,NA,NA,NA,NA,NA,NA,NA,0.07824,0,0,0.27488,0.96976,0.93056,0.6432,0.70064,0.70048,0.24384,1.22554849605508,8.26444431957759e-07,8
